,Title,Year,Id,Overview,TMDB_Id,Average_vote,Popularity,Revenue,Budget,Genre,Keywords,Cast,Director,Poster
866,Bhediya,2022.0,tt14099334,"Inspired by legendary folklore rooted in Arunachal Pradesh, Bhediya tells the story of Bhaskar, a man who gets bitten by a mythical wolf and begins to transform into the creature himself. As Bhaskar and his ragtag buddies try to find answers, he is worried that the monster in him will wipe out human existence in the local town.",799177.0,6.658,6.458,10911075.0,7350000.0,"['Comedy', 'Fantasy', 'Horror']","['werewolf', 'monster movie', 'horror comedy', 'creature comedy']","['Kriti Sanon', 'Shraddha Kapoor', 'Abhishek Banerjee']",Amar Kaushik,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/iZtq44ZmxBW0E3tAeLG6UdJe9aj.jpg
867,Qala,2022.0,tt14428598,"Haunted by her past, a talented singer with a rising career copes with the pressure of success, a mother's disdain and the voices of doubt within her.",934419.0,6.3,11.365,,,"['Drama', 'Music']",[],"['Triptii Dimri', 'Anushka Sharma', 'Abhishek Banerjee']",Anshai Lal,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/4d2xoBGXMpfeQ6QgpVI4qm34bKP.jpg
868,An Action Hero,2022.0,tt15600222,"At the age of just 30, Maanav at the peak of his acting career gets caught up in a murder accusation, which turns his own life into an eccentric action thriller as he flees the country, with a vengeful politician hot on his heels.",882826.0,6.5,8.951,,,"['Action', 'Crime', 'Comedy', 'Adventure', 'Thriller']",['action comedy'],"['Akshay Kumar', 'Nora Fatehi', 'Jaideep Ahlawat']",Anirudh Iyer,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/6qxe4wa8CMsXCL4486o74H7MHCT.jpg
869,Freddy,2022.0,tt15145764,"Introverted and awkward Dr. Freddy Ginwala desperately searches for a soulmate. When he finally finds her, the relationship becomes as painful as a root canal.",1041054.0,7.067,5.461,,,"['Romance', 'Thriller']",[],"['Kartik Aaryan', 'Alaya F', 'Sajjad Delafrooz']",Shashanka Ghosh,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/zzMpU0jMaN1UI02TUGvOgi6BMlt.jpg
870,India Lockdown,2022.0,tt13885320,The Indian government announces a country-wide lockdown for 21 days due to the pandemic. India Lockdown encapsulates the story of four out of lakhs of individuals whose lives came to a standstill.,788348.0,4.4,7.646,,,"['Drama', 'Adventure']",[],"['Shweta Basu Prasad', 'Prateik Babbar', 'Aahana Kumra']",Madhur Bhandarkar,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/rR8lTcL81n5oHtxmGHMWxag0XOc.jpg
871,Salaam Venky,2022.0,tt15567704,"Sujata, an ideal mother, who battles the most challenging situations one can ever face with a smile.",881983.0,6.9,6.006,,,['Drama'],"['based on novel or book', 'terminal illness', 'euthanasia']","['Kajol', 'Aamir Khan', 'Prakash Raj']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/mAuD8aAiTK6U4xOnoqSHgZPcwbM.jpg
872,Vadh,2022.0,tt10233718,"Shambhunath Mishra, a retired middle school teacher is living a mundane middle-class life with his wife Manju Mishra in Gwalior. Life takes a complete turn for the Mishra family when a situation gets out of hand and it leads to a killing at the hands of Shambhunath Mishra. Mishra ji has very little time to plan cautiously to turn this into a “perfect murder” and leave no trace behind.",1046991.0,5.8,9.321,,,"['Crime', 'Thriller']",[],"['Sanjay Mishra', 'Manav Vij', 'Neena Gupta']",Deepak Thaper,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/lgv1gGpX1Q9EjEiFYNJqC6nX1MF.jpg
873,Maarrich,2022.0,tt13878694,"2 brutal murders, 6 suspects and one fearless cop - Rajiv Dixit, a sharp-witted Mumbai police officer , is on a mission to track down the unidentified killer behind these murders.",787538.0,10.0,1.725,,,"['Thriller', 'Crime']",[],"['Naseeruddin Shah', 'Anita Hassanandani Reddy', 'Dipannita Sharma']",Dhruv Lather,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/nF951LtB1YoOm7OoN4ZhhnpUHPj.jpg
874,Josef – Born in Grace,2022.0,tt11237638,"An adaptation of a short story ""Joseph"" written by Umakanta Mahapatra and is set in the foothills of the Himalayas between 1960 and 1980 in India. Father O'Hara (Victor Banerjee), a missionary doctor with the help of his caretaker Maularam (Sudarshan Juyal), raises an orphan baby Josef (Hitesh Bisht). While still a young boy, Josef is sent to Dehradun, Uttarakhand, for his studies and vocational training. Josef (Subrat Dutta) returns back with a reputation as a great cook as well as his love for alcohol. The film explores in its unfolding of time, the different paths that Father O'Hara, Josef, and Maularam take in their respective journeys for spiritual fulfillment through memories, duty, and search as well as the their interaction with friends and acquaintances. Through static mis-en-scenes, the narrative of the film reflects the all-encompassing nature of time, pre-empting and repeating itself in allegorical hues.",926679.0,0.0,0.553,,,['Drama'],[],"['Victor Banerjee', 'Subrat Dutta', 'Hitesh Bisht']",,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/otpXo5gLKzlYad3CAQWfd5HK9DF.jpg
875,Blurr,2022.0,tt15048614,"With progressive blindness setting in, Gayatri has to find answers to her twin sister's unlikely death. As the lines of reality keep getting blurred, is she ready to look the truth in the eye?",850837.0,3.7,2.522,,,"['Horror', 'Thriller']","['remake', 'based on movie']","['Taapsee Pannu', 'Gulshan Devaiah', 'Abhilash Thapliyal']",Ajay Bahl,https://media.themoviedb.org/t/p/w600_and_h900_bestv2/yGKE9MVoxeLNR18VLYKDszE7jye.jpg
